ts,cpu_percent,rss_mb,power_w,energy_j_total
1760295350.5502238,0.00,322.77,0.000,0.000000
1760295351.5499496,0.00,322.77,0.229,0.228489
1760295352.550219,0.00,322.77,0.119,0.347852
1760295353.5502374,0.00,322.77,0.054,0.401468
1760295354.5505347,0.00,322.77,0.048,0.449668
1760295355.5502279,1.00,322.77,0.059,0.508885
1760295356.5502381,0.00,322.77,0.053,0.561586
1760295357.5499318,0.00,322.77,0.171,0.732613
1760295358.5502253,1.00,322.77,0.050,0.782384
1760295359.5502403,0.00,322.77,0.128,0.910063
1760295360.5502295,1.00,322.77,0.053,0.963054
1760295361.5502317,0.00,322.77,0.033,0.996347
1760295362.5500088,0.00,322.77,0.047,1.043739
1760295363.549988,0.00,322.77,0.049,1.092244
1760295364.550238,0.00,322.77,0.039,1.131396
1760295365.5499902,0.00,322.77,0.087,1.217924
1760295366.5502274,0.00,322.77,0.044,1.262294
1760295367.5502303,1.00,322.77,0.031,1.293665
1760295368.5503387,86.00,376.07,1.188,2.482278
1760295369.5500872,4.00,376.57,0.062,2.544455
1760295370.5500197,1.00,376.57,0.046,2.590183
1760295371.5502317,0.00,376.57,0.037,2.627306
1760295372.5502203,5.00,376.57,0.043,2.670180
1760295373.5503366,0.00,353.86,0.027,2.697035
1760295374.5504255,0.00,353.86,0.065,2.761820
1760295375.5502133,3.00,353.99,0.057,2.818854
1760295376.5502234,2.00,353.99,0.044,2.862813
1760295377.5502212,0.00,353.99,0.045,2.908312
1760295378.5502176,2.00,353.99,0.065,2.973540
1760295379.5502453,3.00,353.99,0.077,3.051035
1760295380.5499833,1.00,353.99,0.058,3.108573
1760295381.5502505,3.00,353.99,0.046,3.154668
1760295382.5499701,0.00,353.99,0.079,3.233460
1760295383.5500057,0.00,353.99,0.040,3.273360
1760295384.550297,0.00,353.99,0.056,3.329418
1760295385.5502346,0.00,353.99,0.056,3.385048
1760295386.5499995,0.00,353.99,0.065,3.449666
1760295387.549976,1.00,353.99,0.043,3.492724
1760295388.5499718,0.00,353.99,0.058,3.550659
1760295389.550003,3.00,353.99,0.038,3.588224
1760295390.5501578,1.00,353.99,0.035,3.622890
1760295391.549988,0.00,353.99,0.045,3.667855
1760295392.550239,2.00,353.99,0.090,3.758137
1760295393.550435,2.00,353.99,0.047,3.804842
1760295394.5502193,2.00,353.99,0.074,3.878935
1760295395.5503244,1.00,353.99,0.070,3.948923
1760295396.5504184,2.00,353.99,0.072,4.021261
1760295397.5502894,1.00,353.99,0.067,4.087878
1760295398.5502255,1.00,353.99,0.041,4.128800
1760295399.5502236,0.00,353.99,0.059,4.187543
1760295400.5504155,3.00,354.11,0.061,4.248651
1760295401.550346,1.00,354.11,0.071,4.319570
1760295402.5502484,2.00,354.11,0.063,4.382845
1760295403.5504303,1.00,354.11,0.051,4.433761
1760295404.549992,2.00,354.11,0.049,4.483044
1760295405.5499735,1.00,354.11,0.042,4.525538
1760295406.5499454,1.00,354.11,0.126,4.651325
1760295407.5499926,1.00,354.11,0.036,4.687105
1760295408.549988,1.00,354.11,0.043,4.729934
1760295409.5502713,1.00,354.11,0.050,4.780347
1760295410.5499833,2.00,354.11,0.046,4.826273
1760295411.5502193,2.00,354.11,0.046,4.872139
1760295412.5499759,1.00,354.11,0.041,4.913473
1760295413.549974,1.00,354.11,0.031,4.944950
1760295414.5502546,3.00,354.11,0.061,5.006394
1760295415.5501912,2.00,354.11,0.061,5.067762
1760295416.5502257,1.00,354.11,0.052,5.119730
1760295417.5500026,2.00,354.11,0.060,5.179282
1760295418.5502331,1.00,354.24,0.042,5.221745
1760295419.5503347,1.00,354.24,0.047,5.268450
1760295420.550269,2.00,354.24,0.045,5.313537
1760295421.5504777,2.00,354.24,0.065,5.378659
1760295422.5503829,1.00,354.24,0.054,5.432733
1760295423.5506983,4.00,354.24,0.032,5.464653
1760295424.5503159,1.00,354.24,0.057,5.521702
1760295425.5500004,1.00,354.24,0.061,5.583024
1760295426.550222,1.00,354.24,0.054,5.636763
1760295427.5499783,1.00,354.24,0.047,5.683941
1760295428.5499852,2.00,354.24,0.040,5.724130
1760295429.5499835,2.00,354.24,0.051,5.774726
1760295430.550335,2.00,354.24,0.044,5.818959
1760295431.549984,2.00,354.24,0.051,5.870271
1760295432.5504396,1.00,354.24,0.026,5.895859
1760295433.5502372,3.00,354.24,0.044,5.940183
1760295434.5500047,1.00,354.24,0.046,5.986293
1760295435.5499933,1.00,354.24,0.056,6.042580
1760295436.550027,2.00,354.24,0.051,6.093542
1760295437.5499957,1.00,354.24,0.047,6.140536
1760295438.55,3.00,354.24,0.032,6.172227
1760295439.5500336,3.00,354.24,0.039,6.211623
1760295440.5500278,4.00,354.24,0.047,6.258206
1760295441.5500073,1.00,354.24,0.055,6.313531
1760295442.549998,1.00,354.24,0.032,6.345436
1760295443.5500247,2.00,354.24,0.059,6.404271
1760295444.5500276,1.00,354.24,0.048,6.451799
1760295445.550001,3.00,354.24,0.066,6.518019
1760295446.5499856,1.00,354.24,0.052,6.570400
1760295447.5501194,3.00,354.24,0.065,6.635231
1760295448.550056,3.00,354.24,0.079,6.713962
1760295449.5500634,1.00,354.24,0.084,6.798263
1760295450.5500777,2.00,354.24,0.049,6.847180
1760295451.5499773,3.00,354.24,0.052,6.899073
1760295452.5504682,2.00,354.24,0.218,7.117552
1760295453.5500948,2.00,354.36,0.068,7.185358
1760295454.5499752,3.00,354.36,0.077,7.261923
1760295455.5500007,1.00,354.36,0.066,7.327853
1760295456.5499742,1.00,354.49,0.043,7.371277
1760295457.5502312,1.00,354.49,0.060,7.431455
1760295458.5503678,3.00,354.61,0.043,7.474879
1760295459.550226,4.00,354.86,0.063,7.538093
1760295460.5499706,2.00,354.86,0.083,7.620791
1760295461.5502243,3.00,354.86,0.029,7.650224
1760295462.5502615,2.00,354.86,0.038,7.688354
1760295463.55023,2.00,354.86,0.066,7.754711
1760295464.5502324,2.00,354.86,0.067,7.821586
1760295465.5502372,2.00,354.99,0.056,7.877400
1760295466.550228,4.00,354.99,0.085,7.962677
1760295467.55022,2.00,355.11,0.055,8.017530
1760295468.5502384,4.00,355.11,0.147,8.164632
1760295469.5502434,2.00,355.11,0.045,8.209216
1760295470.5502324,5.00,355.11,0.054,8.262970
1760295471.550224,2.00,355.11,0.069,8.332104
1760295472.5503736,2.00,355.11,0.057,8.389382
1760295473.5499673,2.00,355.11,0.063,8.452718
1760295474.5502064,3.00,355.11,0.063,8.515337
1760295475.5499852,4.00,355.11,0.045,8.560348
1760295476.5502121,2.00,355.49,0.124,8.684182
1760295477.550224,4.00,355.86,0.054,8.738485
1760295478.5502691,5.00,355.99,0.072,8.810229
1760295479.5502334,3.00,355.99,0.039,8.848984
1760295480.5502317,3.00,355.99,0.049,8.898298
1760295481.5502357,1.00,355.99,0.045,8.943095
1760295482.5502393,3.00,355.99,0.046,8.989129
1760295483.5502064,2.00,355.99,0.031,9.019904
1760295484.5500016,3.00,355.99,0.059,9.078510
1760295485.5502133,2.00,355.99,0.064,9.142746
1760295486.5502253,3.00,355.99,0.033,9.175581
1760295487.5499873,3.00,355.99,0.084,9.259577
1760295488.5499983,2.00,356.11,0.029,9.288857
1760295489.550001,3.00,356.11,0.037,9.326056
1760295490.5499754,1.00,356.11,0.048,9.374317
1760295491.5499885,3.00,356.11,0.035,9.408922
1760295492.5502322,2.00,356.11,0.037,9.446350
1760295493.5499935,2.00,356.11,0.050,9.496808
1760295494.5499809,0.00,356.11,0.041,9.537532
1760295495.5502377,2.00,356.11,0.026,9.563333
1760295496.5499866,3.00,356.11,0.041,9.604194
1760295497.550226,1.00,356.11,0.051,9.655171
1760295498.5499763,3.00,356.11,0.077,9.732544
1760295499.5502217,3.00,356.11,0.075,9.807812
1760295500.5502217,2.00,356.11,0.037,9.844355
1760295501.5503159,2.00,356.11,0.025,9.869286
1760295502.5499766,3.00,356.11,0.031,9.900199
1760295503.5502224,2.00,356.11,0.037,9.936956
1760295504.550253,2.00,356.11,0.077,10.013902
1760295505.5502279,3.00,356.11,0.044,10.058104
1760295506.5499861,4.00,356.24,0.074,10.131953
1760295507.550212,5.00,356.24,0.058,10.189903
1760295508.5499752,2.00,356.24,0.043,10.232595
1760295509.5502334,2.00,356.24,0.054,10.286150
1760295510.5499856,3.00,356.36,0.049,10.334823
1760295511.5502253,4.00,356.36,0.045,10.379346
1760295512.5502324,1.00,356.36,0.024,10.403789
1760295513.5502234,2.00,356.36,0.049,10.452432
1760295514.550229,2.00,356.36,0.039,10.491157
1760295515.5499866,2.00,356.36,0.093,10.584398
1760295516.5503628,3.00,356.36,0.064,10.648665
1760295517.5502574,2.00,356.36,0.058,10.706584
1760295518.5499861,3.00,356.49,0.079,10.785926
1760295519.550224,3.00,356.49,0.081,10.866595
1760295520.5502658,3.00,356.49,0.049,10.915756
1760295521.5502305,4.00,356.49,0.075,10.991100
1760295522.5499759,3.00,356.61,0.052,11.042642
1760295523.5502243,3.00,356.61,0.062,11.104482
1760295524.550238,3.00,356.61,0.069,11.173632
1760295525.5502403,3.00,356.61,0.069,11.242338
1760295526.549976,3.00,356.74,0.041,11.283260
1760295527.549953,2.00,356.74,0.118,11.401449
1760295528.5499773,5.00,356.86,0.076,11.477342
1760295529.5502408,5.00,356.86,0.042,11.519622
1760295530.5502276,4.00,357.11,0.071,11.590984
1760295531.5503647,4.00,357.36,0.066,11.657066
1760295532.5503507,1.00,357.49,0.072,11.729496
1760295533.5502195,4.00,357.61,0.050,11.779466
1760295534.5502377,2.00,357.61,0.039,11.818328
1760295535.5502255,2.00,357.61,0.050,11.868466
1760295536.5499825,2.00,357.61,0.066,11.934335
1760295537.5502226,3.00,357.61,0.049,11.982916
1760295538.5500004,2.00,357.61,0.151,12.133436
1760295539.550238,2.00,357.61,0.099,12.232430
1760295540.5502117,2.00,357.61,0.061,12.293874
1760295541.5502257,2.00,357.61,0.037,12.331256
1760295542.5500004,4.00,357.61,0.077,12.408050
1760295543.5502317,3.00,357.74,0.059,12.466900
1760295544.549979,3.00,357.74,0.081,12.548210
1760295545.550008,2.00,357.86,0.067,12.615513
1760295546.5503738,2.00,357.86,0.054,12.669419
1760295547.5502198,4.00,357.86,0.048,12.717665
1760295548.5502288,3.00,357.86,0.097,12.814324
1760295549.5502172,3.00,357.86,0.045,12.859610
1760295550.55022,2.00,357.86,0.038,12.897313
1760295551.5502179,7.00,357.86,0.081,12.978348
1760295552.55017,2.00,357.86,0.060,13.038464
1760295553.5502367,2.00,357.86,0.067,13.105279
1760295554.550231,2.00,357.99,0.041,13.146384
1760295555.550002,4.00,357.99,0.039,13.185674
1760295556.5499802,3.00,357.99,0.043,13.229022
1760295557.5502295,3.00,357.99,0.038,13.266785
1760295558.550407,3.00,357.99,0.055,13.322156
1760295559.5503385,3.00,357.99,0.065,13.387247
1760295560.550002,3.00,357.99,0.117,13.504322
1760295561.550212,3.00,357.99,0.068,13.572601
1760295562.5499713,1.00,357.99,0.062,13.634091
1760295563.5502303,2.00,357.99,0.043,13.677256
1760295564.5503168,4.00,357.99,0.049,13.725868
1760295565.5502286,5.00,359.11,0.053,13.779103
1760295566.5499856,2.00,359.24,0.084,13.862702
1760295567.5502286,6.00,359.86,0.068,13.930447
1760295568.5502372,7.00,360.11,0.054,13.984613
1760295569.5502374,7.00,360.36,0.057,14.041770
1760295570.5502398,4.00,360.49,0.050,14.092075
1760295571.5499916,5.00,360.74,0.045,14.136629
1760295572.549976,3.00,360.74,0.225,14.361867
1760295573.5499642,2.00,360.74,0.054,14.415667
1760295574.549965,1.00,360.74,0.049,14.464264
1760295575.5500014,3.00,360.74,0.040,14.504636
1760295576.5503783,2.00,360.74,0.063,14.567957
1760295577.5499372,2.00,360.74,0.065,14.632819
1760295578.5502203,4.00,360.74,0.074,14.706789
1760295579.5501168,2.00,360.74,0.092,14.798353
1760295580.5502272,3.00,360.74,0.066,14.864618
1760295581.5502257,3.00,360.74,0.065,14.929129
1760295582.5499856,2.00,360.74,0.046,14.974827
1760295583.550227,4.00,360.74,0.081,15.056320
1760295584.550264,3.00,360.74,0.068,15.124081
1760295585.5502617,2.00,360.74,0.053,15.176934
1760295586.5502312,3.00,360.74,0.043,15.219947
1760295587.5499916,3.00,360.74,0.036,15.256261
1760295588.5500386,3.00,360.74,0.065,15.321229
1760295589.5502617,3.00,360.74,0.049,15.370711
1760295590.55025,2.00,360.74,0.093,15.463449
1760295591.550224,2.00,360.74,0.052,15.515082
1760295592.5502207,3.00,360.74,0.088,15.603044
1760295593.5500038,3.00,360.74,0.135,15.738444
1760295594.5502307,3.00,360.74,0.075,15.813117
1760295595.550354,5.00,360.74,0.057,15.870227
1760295596.550226,3.00,360.86,0.063,15.932922
1760295597.550217,3.00,360.86,0.056,15.988782
1760295598.550238,3.00,360.86,0.065,16.053781
1760295599.5499864,4.00,360.86,0.073,16.126714
1760295600.5499787,3.00,360.99,0.058,16.184450
1760295601.5503473,6.00,361.49,0.040,16.224320
1760295602.5499814,6.00,361.61,0.065,16.288998
1760295603.55028,6.00,361.99,0.031,16.319667
1760295604.5502193,3.00,361.99,0.071,16.390739
1760295605.5499642,3.00,361.99,0.039,16.429753
1760295606.5500607,3.00,361.99,0.039,16.468905
1760295607.5499842,4.00,361.99,0.042,16.511353
1760295608.550228,3.00,361.99,0.076,16.587536
1760295609.5502195,3.00,361.99,0.102,16.689643
1760295610.5502234,3.00,361.99,0.057,16.747028
1760295611.5502365,2.00,361.99,0.035,16.782442
1760295612.5502622,3.00,361.99,0.042,16.824768
1760295613.5502172,2.00,361.99,0.047,16.871518
1760295614.5499845,3.00,361.99,0.059,16.930582
1760295615.5502102,3.00,361.99,0.029,16.959832
1760295616.5502174,3.00,361.99,0.056,17.015844
1760295617.550223,3.00,362.11,0.058,17.074068
1760295618.5502546,5.00,362.24,0.038,17.112076
1760295619.549966,2.00,362.24,0.039,17.151380
1760295620.5499394,2.00,362.24,0.295,17.446531
1760295621.5502317,3.00,362.24,0.062,17.508799
1760295622.5500107,3.00,362.24,0.073,17.581824
1760295623.550224,3.00,362.24,0.072,17.653704
1760295624.5502954,4.00,362.24,0.059,17.712463
1760295625.5502813,2.00,362.24,0.065,17.777233
1760295626.5500069,4.00,362.24,0.047,17.824258
1760295627.5502105,3.00,362.24,0.094,17.917973
1760295628.5499783,3.00,362.24,0.049,17.966615
1760295629.5502272,5.00,362.24,0.062,18.028593
1760295630.5502336,7.00,362.74,0.055,18.083400
1760295631.5499873,5.00,362.86,0.083,18.166251
1760295632.5502584,3.00,362.86,0.076,18.241870
1760295633.5503235,2.00,362.86,0.067,18.309035
1760295634.5502307,3.00,362.86,0.086,18.395411
1760295635.5502195,4.00,362.86,0.052,18.447288
1760295636.550248,4.00,362.99,0.078,18.525714
1760295637.5502372,4.00,362.99,0.098,18.623411
1760295638.5500019,2.00,362.99,0.056,18.679591
1760295639.5499763,4.00,362.99,0.051,18.730782
1760295640.5502594,3.00,362.99,0.070,18.801259
1760295641.5502095,3.00,362.99,0.062,18.863557
1760295642.5502267,3.00,362.99,0.059,18.922315
1760295643.5499856,5.00,362.99,0.125,19.047370
1760295644.5502377,2.00,362.99,0.047,19.094838
1760295645.550356,4.00,362.99,0.049,19.143770
1760295646.5502975,2.00,362.99,0.056,19.200179
1760295647.5502408,3.00,362.99,0.046,19.246563
1760295648.549978,3.00,362.99,0.133,19.379857
1760295649.5499532,3.00,362.99,0.059,19.439333
1760295650.549939,4.00,362.99,0.067,19.505888
1760295651.5499644,1.00,362.99,0.051,19.556636
1760295652.5502398,1.00,362.99,0.039,19.595926
1760295653.5502062,3.00,362.99,0.051,19.646613
1760295654.5502198,3.00,362.99,0.032,19.678166
1760295655.5502279,2.00,362.99,0.035,19.712970
1760295656.5502052,4.00,362.99,0.095,19.808058
1760295657.5500114,4.00,362.99,0.062,19.870280
1760295658.5502346,4.00,362.99,0.176,20.046540
1760295659.5503898,4.00,362.99,0.064,20.110395
1760295660.549976,3.00,362.99,0.073,20.183069
1760295661.5502439,2.00,362.99,0.052,20.234732
1760295662.550229,2.00,362.99,0.045,20.279576
1760295663.5502267,5.00,362.99,0.056,20.335588
1760295664.5500033,4.00,362.99,0.044,20.379180
1760295665.549976,2.00,362.99,0.051,20.430355
1760295666.5499759,3.00,362.99,0.043,20.473169
1760295667.550224,3.00,362.99,0.045,20.517692
1760295668.5502229,2.00,363.11,0.086,20.603671
1760295669.5499916,4.00,363.11,0.047,20.651016
1760295670.5502396,2.00,363.11,0.045,20.696043
1760295671.5502205,3.00,363.11,0.063,20.759241
1760295672.5502226,2.00,363.36,0.044,20.803383
1760295673.5502365,3.00,363.36,0.062,20.865315
1760295674.5499773,3.00,363.36,0.068,20.933564
1760295675.550219,3.00,363.36,0.074,21.007931
1760295676.5500064,3.00,363.36,0.059,21.067316
1760295677.5501447,4.00,363.49,0.054,21.121665
1760295678.5502083,2.00,363.49,0.052,21.173176
1760295679.5502644,3.00,363.49,0.060,21.233262
1760295680.5502229,3.00,363.49,0.064,21.297162
1760295681.550228,3.00,363.49,0.052,21.348826
1760295682.5502264,4.00,363.61,0.046,21.395088
1760295683.5502307,2.00,363.61,0.056,21.451527
1760295684.550239,7.00,363.61,0.061,21.512041
1760295685.5502849,4.00,363.61,0.075,21.587217
1760295686.5499842,4.00,363.61,0.074,21.661599
1760295687.5499759,3.00,363.61,0.060,21.721914
1760295688.5503263,2.00,363.61,0.056,21.777896
1760295689.5502398,3.00,363.61,0.057,21.834778
1760295690.5502841,3.00,363.61,0.049,21.884153
1760295691.5502367,2.00,363.61,0.060,21.944422
1760295692.5502534,4.00,363.61,0.224,22.168699
1760295693.5502362,3.00,363.61,0.046,22.214809
1760295694.5502243,2.00,363.61,0.060,22.275291
1760295695.5502272,5.00,363.61,0.094,22.368976
1760295696.5502212,4.00,363.61,0.050,22.419083
1760295697.5502288,2.00,363.61,0.047,22.465955
1760295698.5502303,3.00,363.61,0.062,22.527964
1760295699.5502229,3.00,363.61,0.055,22.582801
1760295700.5502262,3.00,363.61,0.065,22.647510
1760295701.5502384,2.00,363.61,0.064,22.711106
1760295702.5499852,4.00,363.61,0.080,22.791088
1760295703.5499845,2.00,363.61,0.072,22.863457
1760295704.550228,3.00,363.61,0.058,22.921346
1760295705.5500007,3.00,363.61,0.092,23.012909
1760295706.5502117,3.00,363.61,0.040,23.053144
1760295707.55023,3.00,363.61,0.067,23.119822
1760295708.5499434,2.00,363.61,0.053,23.172889
1760295709.5502279,3.00,363.61,0.078,23.251041
1760295710.5502293,3.00,363.61,0.043,23.293839
1760295711.5502303,3.00,363.61,0.047,23.340605
1760295712.55032,2.00,363.74,0.086,23.426935
1760295713.5499487,4.00,363.86,0.062,23.489248
1760295714.5502193,5.00,363.99,0.058,23.547717
1760295715.550217,0.00,363.99,0.032,23.580186
1760295716.549992,1.00,363.99,0.024,23.603958
1760295717.5504136,0.00,364.11,0.043,23.646726
1760295718.5499494,1.00,364.24,0.066,23.712443
1760295719.550212,3.00,364.36,0.049,23.761116
1760295720.55023,1.00,364.49,0.045,23.806569
1760295721.5499845,2.00,364.49,0.051,23.857516
1760295722.5500126,0.00,364.49,0.061,23.918731
1760295723.5502234,1.00,364.49,0.042,23.960736
1760295724.5500033,1.00,364.49,0.043,24.003779
1760295725.5502887,1.00,364.49,0.050,24.053688
1760295726.5499394,2.00,364.74,0.053,24.106206
1760295727.549986,0.00,364.74,0.040,24.146151
1760295728.5500066,2.00,364.86,0.039,24.184830
1760295729.5499847,3.00,364.99,0.066,24.250516
1760295730.550223,1.00,364.99,0.067,24.317880
1760295731.5502198,0.00,365.11,0.085,24.402684
1760295732.5503287,2.00,365.24,0.040,24.442996
1760295733.549976,1.00,365.24,0.060,24.502975
1760295734.5502074,1.00,365.36,0.065,24.568050
1760295735.5499945,1.00,365.36,0.041,24.609231
1760295736.550228,3.00,365.36,0.055,24.664191
1760295737.5499883,0.00,365.36,0.065,24.729175
1760295738.5502598,2.00,365.49,0.085,24.814436
1760295739.5502312,1.00,365.74,0.082,24.896646
1760295740.5502102,0.00,365.86,0.049,24.946098
1760295741.5502377,2.00,366.11,0.089,25.035433
1760295742.550233,2.00,366.11,0.103,25.138791
1760295743.550133,1.00,366.24,0.036,25.174846
1760295744.5502288,1.00,366.36,0.053,25.228004
1760295745.550219,1.00,366.49,0.046,25.274114
1760295746.549935,3.00,366.49,0.053,25.327578
1760295747.5503175,1.00,366.61,0.037,25.364899
1760295748.5502439,1.00,366.74,0.035,25.399977
1760295749.5502374,2.00,366.99,0.073,25.473002
1760295750.55022,1.00,366.99,0.076,25.549399
1760295751.549962,1.00,367.24,0.073,25.622012
1760295752.5502367,2.00,367.24,0.084,25.706343
1760295753.5499861,1.00,367.36,0.079,25.785425
1760295754.5502238,1.00,367.36,0.082,25.867498
1760295755.5499747,1.00,367.36,0.044,25.911349
1760295756.5503469,2.00,367.61,0.062,25.973159
1760295757.5503058,1.00,367.61,0.051,26.024564
1760295758.549941,1.00,367.86,0.104,26.128379
1760295759.5499613,17.00,379.49,0.567,26.694909
1760295760.5499732,1.00,373.38,0.059,26.753881
1760295761.5503001,2.00,373.75,0.077,26.830598
1760295762.5500128,2.00,373.75,0.075,26.905591
1760295763.5499759,1.00,373.75,0.039,26.945033
1760295764.550234,2.00,373.88,0.035,26.980279
1760295765.5502303,2.00,373.88,0.032,27.012260
1760295766.550011,2.00,373.88,0.068,27.079853
1760295767.5502312,2.00,374.00,0.066,27.146011
1760295768.5502262,1.00,374.12,0.091,27.237147
1760295769.5502696,3.00,374.12,0.196,27.433167
1760295770.550106,1.00,374.12,0.056,27.489499
1760295771.5502262,1.00,374.12,0.061,27.550791
1760295772.5499747,1.00,374.12,0.058,27.609107
1760295773.5499892,1.00,374.25,0.067,27.676410
1760295774.5499756,2.00,374.38,0.038,27.713914
1760295775.5503654,2.00,374.38,0.048,27.762251
1760295776.5500152,1.00,374.38,0.090,27.852457
1760295777.549976,2.00,374.38,0.043,27.895042
1760295778.5499468,1.00,374.38,0.068,27.962558
1760295779.5502243,1.00,374.38,0.045,28.007905
1760295780.5502295,1.00,374.38,0.043,28.050444
1760295781.5499778,2.00,374.38,0.038,28.088040
1760295782.5499663,1.00,374.38,0.051,28.139353
1760295783.5499737,2.00,374.38,0.098,28.237782
1760295784.5499809,2.00,374.38,0.052,28.290056
1760295785.5499852,1.00,374.38,0.069,28.359419
1760295786.5499883,1.00,374.38,0.050,28.409892
1760295787.5502186,1.00,374.38,0.066,28.476051
1760295788.5502095,3.00,374.38,0.030,28.506445
1760295789.5499759,2.00,374.38,0.066,28.572695
1760295790.5499797,2.00,374.38,0.028,28.600312
1760295791.5502946,1.00,374.38,0.046,28.646132
1760295792.5502367,2.00,374.38,0.028,28.674268
1760295793.5502057,2.00,374.38,0.057,28.730921
1760295794.549993,2.00,374.38,0.079,28.810262
1760295795.5503404,1.00,374.38,0.035,28.844837
1760295796.5502324,1.00,374.50,0.072,28.916473
1760295797.5502336,2.00,374.50,0.046,28.962079
1760295798.5502229,3.00,374.50,0.041,29.003505
1760295799.550242,1.00,374.50,0.050,29.053124
1760295800.5502307,1.00,374.62,0.067,29.120366
1760295801.5500093,2.00,374.62,0.086,29.206696
1760295802.5502193,2.00,374.75,0.063,29.269772
1760295803.5503995,2.00,374.75,0.061,29.331170
1760295804.5502725,2.00,374.75,0.078,29.408834
1760295805.550221,2.00,374.88,0.057,29.466219
1760295806.5500002,2.00,374.88,0.067,29.533080
1760295807.5502326,1.00,374.88,0.062,29.595470
1760295808.5502267,2.00,374.88,0.062,29.657783
1760295809.5502255,2.00,374.88,0.061,29.718785
1760295810.5502858,3.00,374.88,0.083,29.802124
1760295811.550237,3.00,375.00,0.063,29.865048
1760295812.5502264,1.00,375.12,0.259,30.124312
1760295813.5502367,2.00,375.25,0.049,30.173244
1760295814.5499773,2.00,375.25,0.045,30.217859
1760295815.5499845,2.00,375.25,0.058,30.276098
1760295816.5502148,3.00,375.38,0.034,30.310032
1760295817.5504906,2.00,375.38,0.067,30.376878
1760295818.550307,1.00,375.50,0.046,30.423216
1760295819.5503595,2.00,375.50,0.051,30.474361
1760295820.5502992,3.00,375.50,0.060,30.534035
1760295821.549992,1.00,375.50,0.071,30.605046
1760295822.549987,1.00,375.50,0.025,30.629809
1760295823.5502312,1.00,375.50,0.069,30.698760
1760295824.5499747,3.00,375.50,0.051,30.749798
1760295825.5499978,2.00,375.50,0.068,30.818017
1760295826.5499778,2.00,375.50,0.042,30.860205
1760295827.5502286,1.00,375.50,0.044,30.903782
1760295828.5502212,3.00,375.50,0.041,30.945269
1760295829.5504668,1.00,375.50,0.054,30.998855
1760295830.550224,3.00,375.50,0.044,31.042493
1760295831.550212,2.00,375.50,0.071,31.113244
1760295832.5502186,3.00,375.50,0.043,31.156699
1760295833.5500078,3.00,375.50,0.169,31.325879
1760295834.5500634,3.00,375.50,0.042,31.367686
1760295835.5503993,2.00,375.50,0.067,31.434623
1760295836.5502238,3.00,375.50,0.042,31.476995
1760295837.5502334,1.00,375.50,0.041,31.518008
1760295838.5500064,3.00,375.50,0.068,31.586181
1760295839.550045,1.00,375.50,0.124,31.710106
1760295840.5503085,4.00,375.50,0.070,31.780461
1760295841.550226,19.00,376.50,0.036,31.816119
1760295842.5503104,3.00,376.50,0.063,31.879501
1760295843.5502167,3.00,376.50,0.029,31.908628
1760295844.5499895,3.00,376.50,0.078,31.986261
1760295845.5500665,3.00,376.50,0.056,32.041785
1760295846.5499852,2.00,376.50,0.047,32.089268
1760295847.5502293,2.00,376.50,0.044,32.133195
1760295848.5502286,2.00,376.50,0.041,32.174377
1760295849.5499742,11.00,376.50,0.025,32.199751
1760295850.5503519,2.00,376.50,0.044,32.243572
1760295851.5501332,3.00,376.50,0.040,32.283578
1760295852.550214,2.00,376.50,0.050,32.333197
1760295853.5502224,7.00,376.50,0.070,32.403537
1760295854.5500069,2.00,376.50,0.045,32.448731
1760295855.5499744,1.00,376.50,0.081,32.529919
1760295856.5502238,3.00,376.50,0.047,32.576913
1760295857.5499873,2.00,376.50,0.070,32.647253
1760295858.5500128,3.00,376.50,0.042,32.689655
1760295859.549998,2.00,376.50,0.042,32.731492
1760295860.5502217,2.00,376.50,0.038,32.769713
1760295861.5500755,2.00,376.50,0.053,32.823132
1760295862.5500064,4.00,376.50,0.077,32.899742
1760295863.5502405,2.00,376.62,0.057,32.956700
1760295864.5502138,2.00,376.62,0.025,32.981418
1760295865.5502088,2.00,376.62,0.063,33.044388
1760295866.5499754,3.00,376.62,0.046,33.090345
1760295867.5505912,2.00,376.62,0.050,33.140071
1760295868.5502195,2.00,376.62,0.036,33.176461
1760295869.5503225,2.00,376.62,0.050,33.226385
1760295870.5499752,2.00,376.62,0.046,33.272373
1760295871.5502212,2.00,376.75,0.046,33.318620
1760295872.5503712,3.00,376.88,0.042,33.360579
1760295873.5503352,7.00,377.00,0.046,33.406399
1760295874.5499852,3.00,377.12,0.047,33.453409
1760295875.549978,2.00,377.38,0.049,33.502662
1760295876.5499809,2.00,377.50,0.038,33.541036
1760295877.5499823,3.00,377.88,0.040,33.581286
1760295878.5499787,2.00,378.00,0.068,33.649276
1760295879.5503588,3.00,378.25,0.043,33.692532
1760295880.5502615,4.00,378.88,0.045,33.737940
1760295881.5502121,2.00,379.00,0.065,33.802680
1760295882.550213,2.00,379.12,0.048,33.850514
1760295883.550272,3.00,379.25,0.060,33.910707
1760295884.5502992,2.00,379.50,0.046,33.956999
1760295885.5504503,2.00,380.00,0.049,34.005581
1760295886.550256,2.00,380.12,0.056,34.061623
1760295887.5499969,3.00,380.25,0.049,34.110739
1760295888.5503492,2.00,380.25,0.107,34.217484
1760295889.5501077,3.00,380.50,0.037,34.254530
1760295890.5499659,1.00,380.88,0.127,34.381340
